Year,Week,Level [%]
1990,2,0.724
1990,3,0.702
1990,4,0.682
1990,5,0.661
1990,6,0.643
1990,7,0.643
1990,8,0.62
1990,9,0.618
1990,10,0.601
1990,11,0.58
1990,12,0.576
1990,13,0.58
1990,14,0.568
1990,15,0.554
1990,16,0.538
1990,17,0.524
1990,18,0.527
1990,19,0.578
1990,20,0.621
1990,21,0.641
1990,22,0.651
1990,23,0.678
1990,24,0.743
1990,25,0.791
1990,26,0.848
1990,27,0.884
1990,28,0.913
1990,29,0.932
1990,30,0.947
1990,31,0.954
1990,32,0.963
1990,33,0.956
1990,34,0.973
1990,35,0.971
1990,36,0.972
1990,37,0.972
1990,38,0.965
1990,39,0.966
1990,40,0.957
1990,41,0.959
1990,42,0.967
1990,43,0.971
1990,44,0.955
1990,45,0.941
1990,46,0.919
1990,47,0.902
1990,48,0.873
1990,49,0.853
1990,50,0.834
1990,51,0.809
1990,52,0.786
1991,1,0.773
1991,2,0.748
1991,3,0.719
1991,4,0.689
1991,5,0.667
1991,6,0.636
1991,7,0.601
1991,8,0.566
1991,9,0.539
1991,10,0.51
1991,11,0.48
1991,12,0.456
1991,13,0.438
1991,14,0.418
1991,15,0.405
1991,16,0.403
1991,17,0.387
1991,18,0.371
1991,19,0.355
1991,20,0.358
1991,21,0.359
1991,22,0.368
1991,23,0.401
1991,24,0.413
1991,25,0.456
1991,26,0.514
1991,27,0.563
1991,28,0.614
1991,29,0.67
1991,30,0.704
1991,31,0.727
1991,32,0.744
1991,33,0.759
1991,34,0.779
1991,35,0.781
1991,36,0.776
1991,37,0.778
1991,38,0.791
1991,39,0.807
1991,40,0.826
1991,41,0.826
1991,42,0.826
1991,43,0.822
1991,44,0.81
1991,45,0.803
1991,46,0.794
1991,47,0.778
1991,48,0.764
1991,49,0.766
1991,50,0.747
1991,51,0.738
1991,52,0.723
1992,1,0.708
1992,2,0.706
1992,3,0.696
1992,4,0.685
1992,5,0.662
1992,6,0.644
1992,7,0.629
1992,8,0.605
1992,9,0.581
1992,10,0.56
1992,11,0.538
1992,12,0.515
1992,13,0.495
1992,14,0.471
1992,15,0.442
1992,16,0.419
1992,17,0.4
1992,18,0.378
1992,19,0.367
1992,20,0.377
1992,21,0.396
1992,22,0.464
1992,23,0.549
1992,24,0.645
1992,25,0.716
1992,26,0.754
1992,27,0.775
1992,28,0.792
1992,29,0.811
1992,30,0.838
1992,31,0.875
1992,32,0.899
1992,33,0.925
1992,34,0.94
1992,35,0.94
1992,36,0.953
1992,37,0.952
1992,38,0.954
1992,39,0.955
1992,40,0.965
1992,41,0.956
1992,42,0.956
1992,43,0.937
1992,44,0.913
1992,45,0.888
1992,46,0.877
1992,47,0.858
1992,48,0.835
1992,49,0.815
1992,50,0.808
1992,51,0.79
1992,52,0.783
1992,53,0.762
1993,1,0.738
1993,2,0.711
1993,3,0.694
1993,4,0.677
1993,5,0.651
1993,6,0.64
1993,7,0.62
1993,8,0.593
1993,9,0.564
1993,10,0.534
1993,11,0.506
1993,12,0.49
1993,13,0.466
1993,14,0.439
1993,15,0.416
1993,16,0.391
1993,17,0.379
1993,18,0.412
1993,19,0.444
1993,20,0.479
1993,21,0.562
1993,22,0.613
1993,23,0.641
1993,24,0.676
1993,25,0.694
1993,26,0.718
1993,27,0.761
1993,28,0.796
1993,29,0.844
1993,30,0.875
1993,31,0.903
1993,32,0.921
1993,33,0.933
1993,34,0.935
1993,35,0.93
1993,36,0.926
1993,37,0.916
1993,38,0.897
1993,39,0.886
1993,40,0.87
1993,41,0.865
1993,42,0.853
1993,43,0.837
1993,44,0.821
1993,45,0.797
1993,46,0.772
1993,47,0.744
1993,48,0.714
1993,49,0.687
1993,50,0.658
1993,51,0.631
1993,52,0.604
1994,1,0.576
1994,2,0.544
1994,3,0.514
1994,4,0.489
1994,5,0.462
1994,6,0.432
1994,7,0.4
1994,8,0.367
1994,9,0.336
1994,10,0.307
1994,11,0.284
1994,12,0.26
1994,13,0.236
1994,14,0.222
1994,15,0.205
1994,16,0.189
1994,17,0.173
1994,18,0.192
1994,19,0.211
1994,20,0.26
1994,21,0.287
1994,22,0.311
1994,23,0.349
1994,24,0.402
1994,25,0.438
1994,26,0.48
1994,27,0.555
1994,28,0.608
1994,29,0.664
1994,30,0.689
1994,31,0.718
1994,32,0.749
1994,33,0.762
1994,34,0.77
1994,35,0.788
1994,36,0.79
1994,37,0.796
1994,38,0.793
1994,39,0.785
1994,40,0.78
1994,41,0.783
1994,42,0.785
1994,43,0.768
1994,44,0.762
1994,45,0.748
1994,46,0.729
1994,47,0.714
1994,48,0.717
1994,49,0.705
1994,50,0.69
1994,51,0.672
1994,52,0.656
1995,1,0.636
1995,2,0.61
1995,3,0.585
1995,4,0.565
1995,5,0.537
1995,6,0.511
1995,7,0.487
1995,8,0.463
1995,9,0.437
1995,10,0.411
1995,11,0.384
1995,12,0.358
1995,13,0.335
1995,14,0.31
1995,15,0.286
1995,16,0.268
1995,17,0.246
1995,18,0.233
1995,19,0.24
1995,20,0.25
1995,21,0.24
1995,22,0.271
1995,23,0.39
1995,24,0.49
1995,25,0.562
1995,26,0.635
1995,27,0.69
1995,28,0.723
1995,29,0.759
1995,30,0.809
1995,31,0.842
1995,32,0.866
1995,33,0.871
1995,34,0.88
1995,35,0.886
1995,36,0.88
1995,37,0.886
1995,38,0.883
1995,39,0.879
1995,40,0.882
1995,41,0.912
1995,42,0.929
1995,43,0.947
1995,44,0.965
1995,45,0.951
1995,46,0.93
1995,47,0.901
1995,48,0.887
1995,49,0.864
1995,50,0.836
1995,51,0.807
1995,52,0.773
1996,1,0.741
1996,2,0.701
1996,3,0.669
1996,4,0.636
1996,5,0.6
1996,6,0.567
1996,7,0.528
1996,8,0.494
